id,risk,return,equity,gdp2021
上海,10.3,6.4,17.35933527,4.321485
北京,10.6,6.2,18.39970758,4.02696
广州,10.8,7,15.0366,2.823197
深圳,13,7.8,17.3663,3.066485
重庆,4.8,1.7,8.6879,2.789402
苏州,11.4,7,17.75,2.27183
成都,6.1,2.5,9.4622,1.9917
武汉,9.8,3.6,13.5251,1.771676
天津,7.5,3.8,11.43120903,1.569505
杭州,9.5,5.2,14.9857,1.8109
南京,10.2,5.4,17.452,1.635532
青岛,8.8,,13.78265914,1.413646
无锡,11.8,6.6,18.74,1.400324
长沙,9.4,3.8,12.96055394,1.32707
郑州,6.7,3.4,10.0092,1.2691
佛山,9,5.9,12.64646402,1.215654
济南,8.2,,12.24528706,1.14322
合肥,6.5,2.4,12.1187,1.14128
福州,7,3,13.5298,1.132448
泉州,7,3,12.8165,1.130417
南通,7.7,3,14.2642,1.10269
西安,5.9,2.2,8.3689,1.068828
东莞,6.3,4.5,10.3284,1.085535
